aten_id,aten_id2,evalue,saccver,method,kegg,has_signal,pfam,Entry,Status,Protein names,Gene names,Organism,Length,Organism ID,EC number,Gene ontology IDs,Cross-reference (KEGG),Cross-reference (GeneID),Ensembl transcript,Cross-reference (eggNOG),Cross-reference (KO),Cross-reference (OrthoDB),Cross-reference (BioCyc),Cross-reference (BRENDA),Cross-reference (Reactome),ipr_go
aten_0.1.m1.4343.m1,aten_0.1.m1.4343,1.97E-107,CP46A_MOUSE,blastp,K07440,NA,PF00067.21,Q9WVK8,reviewed,Cholesterol 24-hydroxylase (CH24H) (EC 1.14.14.25) (Cholesterol 24-monooxygenase) (Cholesterol 24S-hydroxylase) (Cytochrome P450 46A1),Cyp46a1 Cyp46,Mus musculus (Mouse),500,10090,1.14.14.25,GO:0005506; GO:0005789; GO:0006707; GO:0006805; GO:0008395; GO:0016021; GO:0020037; GO:0030054; GO:0030425; GO:0033781; GO:0042448; GO:0098793; GO:0098794; GO:1900271,mmu:13116;,13116;,ENSMUST00000021684;,KOG0157;COG2124;,K07440;,825914at2759;,NA,1.14.13.98;,R-MMU-193775;R-MMU-211976;,GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0006707;GO:0033781
aten_0.1.m1.19985.m1,aten_0.1.m1.19985,1.79E-55,Y3291_DICDI,blastp,NA,NA,PF14226.5;PF03171.19,Q54RA4,reviewed,Probable iron/ascorbate oxidoreductase DDB_G0283291 (EC 1.14.-.-),DDB_G0283291,Dictyostelium discoideum (Slime mold),363,44689,1.14.-.-,GO:0046872; GO:0051213,ddi:DDB_G0283291;,8624013;,NA,KOG0143;COG3491;,NA,NA,NA,NA,NA,GO:0016491;GO:0055114
aten_0.1.m1.9257.m1,aten_0.1.m1.9257,0,BIP_CHICK,blastp,K09490,YES,PF00012.19;PF06723.12;PF01968.17;PF03421.15;PF02782.15;PF16469.4,Q90593,reviewed,Endoplasmic reticulum chaperone BiP (EC 3.6.4.10) (78 kDa glucose-regulated protein) (GRP-78) (Binding-immunoglobulin protein) (BiP) (Heat shock protein 70 family protein 5) (HSP70 family protein 5) (Heat shock protein family A member 5) (Immunoglobulin heavy chain-binding protein),HSPA5 GRP78,Gallus gallus (Chicken),652,9031,3.6.4.10,GO:0005524; GO:0005634; GO:0005737; GO:0005788; GO:0006986; GO:0016020; GO:0016887; GO:0030433; GO:0030968; GO:0031072; GO:0034605; GO:0034620; GO:0034663; GO:0042026; GO:0042623; GO:0044183; GO:0051082; GO:0051085; GO:0051787; GO:0090074; GO:1903895,gga:396487;,396487;,ENSGALT00000001476;,KOG0101;COG0443;,K09490;,288077at2759;,NA,NA,R-GGA-983170;,
aten_0.1.m1.23529.m1,aten_0.1.m1.23529,1.29E-57,CRKL_RAT,blastp,K04438,NA,PF00018.27;PF07653.16;PF14604.5;PF00017.23;PF14633.5;PF14603.5,Q5U2U2,reviewed,Crk-like protein,Crkl,Rattus norvegicus (Rat),303,10116,NA,GO:0000187; GO:0001558; GO:0001568; GO:0001655; GO:0001764; GO:0001783; GO:0003151; GO:0005737; GO:0006629; GO:0007283; GO:0007338; GO:0007416; GO:0008543; GO:0008584; GO:0009952; GO:0010468; GO:0016358; GO:0021766; GO:0021987; GO:0030010; GO:0031594; GO:0032991; GO:0033628; GO:0035685; GO:0038026; GO:0048384; GO:0048538; GO:0050773; GO:0050852; GO:0060017; GO:0060326; GO:0060465; GO:0070374; GO:0086100; GO:0090630; GO:0095500; GO:0098749; GO:0098761; GO:0098890; GO:1904393; GO:1904888; GO:2000404,rno:100911248;rno:287942;,100911248;287942;,ENSRNOT00000002552;,KOG4792;ENOG4110574;,K04438;,1414461at2759;,NA,NA,R-RNO-170968;R-RNO-186763;R-RNO-8875555;R-RNO-8875656;R-RNO-9027284;R-RNO-912631;,GO:0005515
aten_0.1.m1.14844.m1,aten_0.1.m1.14844,2.49E-44,IUNH_LEIMA,blastp,NA,NA,PF01156.18,P83851,reviewed,Inosine-uridine preferring nucleoside hydrolase (IU-NH) (IU-nucleoside hydrolase) (EC 3.2.2.2) (EC 3.2.2.3) (Non-specific nucleoside hydrolase),NSNH,Leishmania major,314,5664,3.2.2.2; 3.2.2.3,GO:0005509; GO:0008477; GO:0009117; GO:0043101; GO:0045437; GO:0047724,NA,NA,NA,KOG2938;COG1957;,NA,NA,NA,NA,NA,
aten_0.1.m1.15067.m1,aten_0.1.m1.15067,5.82E-07,AA2BR_RABIT,blastp,NA,NA,PF00001.20;PF13853.5;PF10328.8;PF07948.10,Q32ZE2,reviewed,Adenosine receptor A2b,ADORA2B,Oryctolagus cuniculus (Rabbit),332,9986,NA,GO:0001609; GO:0002882; GO:0005886; GO:0007189; GO:0010575; GO:0010753; GO:0016021; GO:0031284; GO:0031668; GO:0032722; GO:0032755; GO:0043306; GO:0060087; GO:0098685; GO:0098978; GO:2000300,ocu:100008951;,100008951;,ENSOCUT00000010448;,KOG3656;ENOG410XRW9;,K04267;,550297at2759;,NA,NA,NA,GO:0004930;GO:0007186;GO:0016021
aten_0.1.m1.5121.m1,aten_0.1.m1.5121,7.75E-16,ZGRF1_HUMAN,blastp,NA,NA,PF10382.8,Q86YA3,reviewed,Protein ZGRF1 (GRF-type zinc finger domain-containing protein 1),ZGRF1 C4orf21,Homo sapiens (Human),2104,9606,NA,GO:0003723; GO:0008270; GO:0016021,hsa:55345;,55345;,ENST00000309071 [Q86YA3-4];ENST00000445203 [Q86YA3-1];ENST00000505019 [Q86YA3-1];ENST00000612287 [Q86YA3-2];,ENOG410IFT9;ENOG410XVJU;,NA,62494at2759;,NA,NA,NA,
aten_0.1.m1.18221.m1,aten_0.1.m1.18221,6.52E-48,FRYL_HUMAN,blastp,NA,NA,PF14225.5,O94915,reviewed,Protein furry homolog-like (ALL1-fused gene from chromosome 4p12 protein),FRYL AF4P12 KIAA0826,Homo sapiens (Human),3013,9606,NA,GO:0000902; GO:0005938; GO:0031175,hsa:285527;,285527;,ENST00000358350 [O94915-1];ENST00000503238 [O94915-1];,KOG1825;ENOG410XSZS;,NA,11874at2759;,NA,NA,NA,GO:0000902
aten_0.1.m1.263.m1,aten_0.1.m1.263,0,ACAC_CHICK,blastp,K11262,NA,PF08326.11;PF01039.21;PF02786.16;PF00289.21;PF02785.18;PF00364.21;PF07478.12;PF02655.13;PF02222.21;PF16371.4,P11029,reviewed,Acetyl-CoA carboxylase (ACC) (EC 6.4.1.2) [Includes: Biotin carboxylase (EC 6.3.4.14)],ACAC,Gallus gallus (Chicken),2324,9031,6.4.1.2; 6.3.4.14,GO:0003989; GO:0004075; GO:0005102; GO:0005524; GO:0005623; GO:0005737; GO:0006633; GO:0006810; GO:0009374; GO:0009743; GO:0010628; GO:0032810; GO:0040029; GO:0045893; GO:0046872; GO:0046966; GO:0050692; GO:0065008; GO:0070542; GO:0097066; GO:2001295,gga:396504;,396504;,NA,NA,K11262;,NA,NA,NA,NA,GO:0005524;GO:0003989;GO:0006633;GO:0046872;GO:0016874
aten_0.1.m1.33357.m1,aten_0.1.m1.33357,3.73E-17,NEGR1_HUMAN,blastp,NA,YES,PF13927.5;PF07679.15;PF13895.5;PF07686.16;PF00047.24;PF08205.11;PF16706.4;PF02440.14,Q7Z3B1,reviewed,Neuronal growth regulator 1 (IgLON family member 4),NEGR1 IGLON4 UNQ2433/PRO4993,Homo sapiens (Human),354,9606,NA,GO:0005576; GO:0005886; GO:0007626; GO:0007631; GO:0010976; GO:0031225; GO:0098609,hsa:257194;,257194;,ENST00000306821 [Q7Z3B1-2];ENST00000357731 [Q7Z3B1-1];,ENOG410IQJE;ENOG4110TBP;,K06775;,583722at2759;,NA,NA,R-HSA-163125;,
aten_0.1.m1.12792.m1,aten_0.1.m1.12792,1.55E-24,SUP9_CAEEL,blastp,NA,NA,PF07885.15,O17185,reviewed,Two pore potassium channel protein sup-9 (Suppressor of unc-93 protein 9) (n2P38),sup-9 F34D6.3,Caenorhabditis elegans,329,6239,NA,GO:0005267; GO:0005887; GO:0006813; GO:0006937; GO:0022841; GO:0030322; GO:0036195; GO:0055120; GO:0071805,cel:CELE_F34D6.3;,173613;,NA,KOG4404;ENOG410XRZJ;,K04919;,1109218at2759;,NA,NA,R-CEL-1299316;R-CEL-5576886;,GO:0005267;GO:0016020;GO:0071805
aten_0.1.m1.24140.m1,aten_0.1.m1.24140,2.91E-12,PGBM_HUMAN,blastp,NA,NA,PF00057.17;PF00059.20;PF07691.11;PF10528.8,P98160,reviewed,Basement membrane-specific heparan sulfate proteoglycan core protein (HSPG) (Perlecan) (PLC) [Cleaved into: Endorepellin; LG3 peptide],HSPG2,Homo sapiens (Human),4391,9606,NA,GO:0001523; GO:0001525; GO:0001540; GO:0005178; GO:0005509; GO:0005576; GO:0005604; GO:0005615; GO:0005796; GO:0005886; GO:0005925; GO:0006024; GO:0006027; GO:0006629; GO:0006898; GO:0006954; GO:0007420; GO:0008022; GO:0016525; GO:0030021; GO:0030154; GO:0030198; GO:0043202; GO:0044267; GO:0050750; GO:0060548; GO:0062023; GO:0070062; GO:0072358; GO:0098797; GO:1905907,hsa:3339;,3339;,ENST00000374695;,KOG3509;ENOG410XTD2;,K06255;,1063560at2759;,NA,NA,R-HSA-1474228;R-HSA-1971475;R-HSA-2022928;R-HSA-2024096;R-HSA-216083;R-HSA-3000157;R-HSA-3000171;R-HSA-3000178;R-HSA-3560783;R-HSA-3560801;R-HSA-3656237;R-HSA-3656253;R-HSA-4420332;R-HSA-975634;R-HSA-977225;,GO:0005515
aten_0.1.m1.26355.m1,aten_0.1.m1.26355,0,CFA43_HUMAN,blastp,NA,NA,PF12894.6;PF00400.31;PF01011.20,Q8NDM7,reviewed,Cilia- and flagella-associated protein 43 (WD repeat-containing protein 96),CFAP43 C10orf79 WDR96,Homo sapiens (Human),1665,9606,NA,GO:0005930; GO:0007288; GO:0031514; GO:1905419,hsa:80217;,80217;,ENST00000357060 [Q8NDM7-1];,ENOG410IEUP;ENOG410XSR0;,NA,155530at2759;,NA,NA,NA,GO:0005515
aten_0.1.m1.2759.m1,aten_0.1.m1.2759,0,PARP4_HUMAN,blastp,K10798,NA,PF08487.9;PF00644.19;PF13768.5;PF13757.5;PF16589.4;PF00533.25;PF13519.5;PF00092.27;PF02877.13;PF12738.6,Q9UKK3,reviewed,Protein mono-ADP-ribosyltransferase PARP4 (EC 2.4.2.-) (193 kDa vault protein) (ADP-ribosyltransferase diphtheria toxin-like 4) (ARTD4) (PARP-related/IalphaI-related H5/proline-rich) (PH5P) (Poly [ADP-ribose] polymerase 4) (PARP-4) (Vault poly(ADP-ribose) polymerase) (VPARP),PARP4 ADPRTL1 KIAA0177 PARPL,Homo sapiens (Human),1724,9606,2.4.2.-,GO:0003677; GO:0003950; GO:0005634; GO:0005737; GO:0005829; GO:0005876; GO:0006281; GO:0006464; GO:0006471; GO:0006954; GO:0006974; GO:0008219; GO:0016020; GO:0019899; GO:0042493; GO:0051972; GO:0070062; GO:0140289; GO:1990404; GO:1990904,hsa:143;,143;,ENST00000381989;,KOG1037;ENOG410XP18;,K10798;,955432at2759;,NA,2.4.2.30;,R-HSA-197264;,GO:0003950;GO:0006471
aten_0.1.m1.26175.m1,aten_0.1.m1.26175,0,RFC1_HUMAN,blastp,K10754,NA,PF08519.11;PF00533.25;PF00004.28;PF13401.5;PF03215.14;PF12738.6;PF13604.5;PF13173.5;PF05496.11;PF07728.13;PF13191.5;PF06414.11;PF00910.21;PF01443.17;PF16589.4;PF13671.5;PF13238.5;PF13207.5;PF06144.12;PF03266.14;PF05729.11,P35251,reviewed,Replication factor C subunit 1 (Activator 1 140 kDa subunit) (A1 140 kDa subunit) (Activator 1 large subunit) (Activator 1 subunit 1) (DNA-binding protein PO-GA) (Replication factor C 140 kDa subunit) (RF-C 140 kDa subunit) (RFC140) (Replication factor C large subunit),RFC1 RFC140,Homo sapiens (Human),1148,9606,NA,GO:0000122; GO:0003677; GO:0003689; GO:0003690; GO:0005524; GO:0005634; GO:0005654; GO:0005663; GO:0005730; GO:0005737; GO:0006261; GO:0006283; GO:0006296; GO:0006297; GO:0007004; GO:0008047; GO:0019904; GO:0019985; GO:0031391; GO:0032201; GO:0033683; GO:0042276; GO:0042769; GO:0043565; GO:0045893; GO:0061860; GO:0070062; GO:0070987; GO:0090618,hsa:5981;,5981;,ENST00000349703 [P35251-2];ENST00000381897 [P35251-1];,ENOG410IPR8;COG5275;,K10754;,307415at2759;,NA,NA,R-HSA-110312;R-HSA-110314;R-HSA-110320;R-HSA-174411;R-HSA-5651801;R-HSA-5655862;R-HSA-5656121;R-HSA-5656169;R-HSA-5685942;R-HSA-5696397;R-HSA-5696400;R-HSA-6782135;R-HSA-6782210;R-HSA-69091;,GO:0005524;GO:0003677;GO:0006260;GO:0003689;GO:0005663;GO:0006281
aten_0.1.m1.25613.m1,aten_0.1.m1.25613,0,LRP6_HUMAN,blastp,NA,NA,PF00058.16;PF00084.19;PF02494.15;PF14670.5;PF08450.11;PF00008.26;PF16472.4;PF12662.6;PF01731.19;PF16403.4;PF02793.21;PF09064.9,O75581,reviewed,Low-density lipoprotein receptor-related protein 6 (LRP-6),LRP6,Homo sapiens (Human),1613,9606,NA,GO:0001702; GO:0001843; GO:0001933; GO:0003344; GO:0005041; GO:0005102; GO:0005109; GO:0005576; GO:0005783; GO:0005886; GO:0005901; GO:0006469; GO:0007204; GO:0007268; GO:0009880; GO:0009952; GO:0009986; GO:0014029; GO:0014033; GO:0016021; GO:0016055; GO:0017147; GO:0019210; GO:0019534; GO:0021587; GO:0021794; GO:0021987; GO:0030326; GO:0030901; GO:0030917; GO:0031410; GO:0031901; GO:0034185; GO:0034392; GO:0035261; GO:0042475; GO:0042802; GO:0042803; GO:0042813; GO:0043025; GO:0043434; GO:0044335; GO:0044340; GO:0045202; GO:0045787; GO:0045893; GO:0045944; GO:0046849; GO:0048596; GO:0051091; GO:0060021; GO:0060026; GO:0060059; GO:0060070; GO:0060325; GO:0060349; GO:0060444; GO:0060535; GO:0071397; GO:0071542; GO:0071901; GO:0071936; GO:0072659; GO:0090009; GO:0090090; GO:0090118; GO:0090244; GO:0090245; GO:0098609; GO:1904886; GO:1904928; GO:1904948; GO:1904953; GO:1990851; GO:1990909,hsa:4040;,4040;,ENST00000261349;ENST00000628182;,ENOG410IPT4;ENOG410XSY5;,K03068;,121310at2759;,NA,NA,R-HSA-201681;R-HSA-3772470;R-HSA-4641262;R-HSA-4641263;R-HSA-5340588;,
aten_0.1.m1.9406.m1,aten_0.1.m1.9406,3.08E-41,MBB1A_MOUSE,blastp,K02331,NA,PF04931.12;PF10662.8;PF12243.7;PF12717.6;PF08623.9,Q7TPV4,reviewed,Myb-binding protein 1A (Myb-binding protein of 160 kDa),Mybbp1a P160,Mus musculus (Mouse),1344,10090,NA,GO:0003714; GO:0005634; GO:0005730; GO:0005737; GO:0008134; GO:0008270; GO:0022904; GO:0032922; GO:0042149; GO:0042254; GO:0042564; GO:0043231; GO:0043565; GO:0045892; GO:0070888; GO:0071158; GO:0072332; GO:2000210,mmu:18432;,18432;,ENSMUST00000045633;,KOG1926;ENOG410YFVF;,K02331;,86051at2759;,NA,NA,R-MMU-5250924;,GO:0003677;GO:0005730;GO:0006355;GO:0008134
aten_0.1.m1.15792.m1,aten_0.1.m1.15792,7.22E-12,POLR_DROME,blastp,NA,NA,PF00078.26,P16423,reviewed,Retrovirus-related Pol polyprotein from type-2 retrotransposable element R2DM (Retrovirus-related Pol polyprotein from type II retrotransposable element R2DM) [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease],pol,Drosophila melanogaster (Fruit fly),1057,7227,3.4.23.-; 2.7.7.49,GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0046872,NA,NA,NA,NA,NA,NA,NA,NA,NA,
aten_0.1.m1.34772.m1,aten_0.1.m1.34772,1.53E-30,NAL14_HUMAN,blastp,NA,NA,PF13516.5;PF05729.11;PF12799.6;PF00560.32;PF13855.5;PF00004.28;PF13191.5;PF12078.7;PF07723.12;PF13229.5;PF03266.14;PF01695.16;PF00931.21;PF01577.15;PF13481.5;PF13401.5;PF08275.10;PF02919.14;PF16430.4,Q86W24,reviewed,"NACHT, LRR and PYD domains-containing protein 14 (Nucleotide-binding oligomerization domain protein 5)",NLRP14 NALP14 NOD5,Homo sapiens (Human),1093,9606,NA,GO:0005524; GO:0005737; GO:0007275; GO:0007283; GO:0030154,hsa:338323;,338323;,ENST00000299481;,KOG4308;ENOG410ZBX3;,K22666;,114368at2759;,NA,NA,NA,GO:0005515
aten_0.1.m1.14368.m1,aten_0.1.m1.14368,4.39E-19,KLH10_HUMAN,blastp,NA,NA,PF01344.24;PF13964.5;PF13415.5;PF13418.5;PF07646.14;PF13854.5;PF07250.10,Q6JEL2,reviewed,Kelch-like protein 10,KLHL10,Homo sapiens (Human),608,9606,NA,GO:0000902; GO:0005737; GO:0007286; GO:0008584; GO:0009566; GO:0016567; GO:0048808; GO:0048873,hsa:317719;,317719;,ENST00000293303;,KOG4441;ENOG410XNX8;,K10448;,277265at2759;,NA,NA,NA,GO:0005515
aten_0.1.m1.15817.m1,aten_0.1.m1.15817,2.58E-23,OCTB1_DROME,blastp,NA,NA,PF00001.20;PF13853.5;PF10320.8;PF10328.8;PF03383.14,Q9VCZ3,reviewed,Octopamine receptor beta-1R (DmOA2) (DmOct-beta-1R),Octbeta1R oa2 Oct-beta-1 CG6919,Drosophila melanogaster (Fruit fly),508,7227,NA,GO:0004935; GO:0004989; GO:0005887; GO:0007186; GO:0007188; GO:0007189; GO:0008227; GO:0016021; GO:0045886,dme:Dmel_CG6919;,42652;,NA,KOG3656;ENOG410XRW9;,K22790;,NA,NA,NA,R-DME-390651;R-DME-390696;R-DME-418555;R-DME-5689880;R-DME-8856825;R-DME-8856828;,GO:0004930;GO:0007186;GO:0016021
aten_0.1.m1.34661.m1,aten_0.1.m1.34661,5.66E-11,OX2R_MOUSE,blastp,NA,NA,PF00001.20;PF10320.8;PF10328.8,P58308,reviewed,Orexin receptor type 2 (Ox-2-R) (Ox2-R) (Ox2R) (Hypocretin receptor type 2),Hcrtr2 Mox2r,Mus musculus (Mouse),460,10090,NA,GO:0004930; GO:0005887; GO:0007186; GO:0007200; GO:0007218; GO:0007631; GO:0010840; GO:0016499; GO:0017046; GO:0022410; GO:0051480,mmu:387285;,387285;,ENSMUST00000063140 [P58308-1];ENSMUST00000184757 [P58308-2];,KOG3656;ENOG410XRW9;,K04239;,981089at2759;,NA,NA,R-MMU-389397;R-MMU-416476;,GO:0004930;GO:0007186;GO:0016021
aten_0.1.m1.16328.m1,aten_0.1.m1.16328,0,MRP4_HUMAN,blastp,NA,NA,PF00005.26;PF00664.22;PF02463.18;PF13555.5;PF03193.15;PF13191.5;PF13401.5;PF01926.22;PF01935.16;PF13476.5;PF00350.22;PF00437.19;PF03266.14;PF13175.5;PF13304.5;PF01580.17;PF13604.5;PF02492.18;PF00931.21;PF10412.8;PF05673.12;PF03308.15;PF05049.12;PF01443.17;PF00910.21;PF06414.11;PF13245.5;PF05729.11;PF03029.16;PF02367.16;PF13238.5,O15439,reviewed,Multidrug resistance-associated protein 4 (ATP-binding cassette sub-family C member 4) (MRP/cMOAT-related ABC transporter) (Multi-specific organic anion transporter B) (MOAT-B),ABCC4 MRP4,Homo sapiens (Human),1325,9606,NA,GO:0002576; GO:0005524; GO:0005886; GO:0010243; GO:0014070; GO:0015662; GO:0016020; GO:0016021; GO:0016323; GO:0016404; GO:0031088; GO:0032310; GO:0042493; GO:0042626; GO:0048661; GO:0055085; GO:0060271,hsa:10257;,10257;,ENST00000376887 [O15439-1];ENST00000536256 [O15439-4];ENST00000629385 [O15439-3];ENST00000645237 [O15439-1];ENST00000646439 [O15439-2];,KOG0054;COG1132;,K05673;,926074at2759;,NA,NA,R-HSA-114608;R-HSA-382556;,GO:0005524;GO:0016887;GO:0016021;GO:0008559;GO:0042908;GO:0042626;GO:0055085;GO:0004553;GO:0005975
aten_0.1.m1.10882.m1,aten_0.1.m1.10882,7.47E-138,SACS_HUMAN,blastp,NA,NA,PF13589.5,Q9NZJ4,reviewed,Sacsin (DnaJ homolog subfamily C member 29) (DNAJC29),SACS KIAA0730,Homo sapiens (Human),4579,9606,NA,GO:0005634; GO:0005737; GO:0005739; GO:0006457; GO:0030424; GO:0030425; GO:0030544; GO:0051087; GO:0070628; GO:0070852; GO:0090084,hsa:26278;,26278;,ENST00000382292 [Q9NZJ4-1];ENST00000402364 [Q9NZJ4-2];,ENOG410IGIN;ENOG410XQZM;,K17592;,1502266at2759;,NA,NA,NA,
aten_0.1.m1.36349.m1,aten_0.1.m1.36349,4.12E-75,NACA_ORENI,blastp,K03626,NA,PF01849.17;PF14797.5,Q8AWF2,reviewed,Nascent polypeptide-associated complex subunit alpha (NAC-alpha) (Alpha-NAC),naca,Oreochromis niloticus (Nile tilapia) (Tilapia nilotica),215,8128,NA,GO:0005854; GO:0015031,NA,100534485;,NA,KOG2239;COG1308;,NA,453320at2759;,NA,NA,NA,GO:0005854
aten_0.1.m1.1285.m1,aten_0.1.m1.1285,4.02E-55,PBDC1_MOUSE,blastp,NA,NA,PF04669.12,Q9D0B6,reviewed,Protein PBDC1 (Polysaccharide biosynthesis domain-containing protein 1),Pbdc1,Mus musculus (Mouse),198,10090,NA,NA,mmu:67683;,67683;,ENSMUST00000033577 [Q9D0B6-1];ENSMUST00000119477 [Q9D0B6-2];,KOG4093;ENOG4111SHF;,NA,1420225at2759;,NA,NA,NA,
aten_0.1.m1.36179.m1,aten_0.1.m1.36179,5.63E-55,ALMA7_EMIHU,blastp,NA,NA,NA,R1CW23,reviewed,Dimethlysulfonioproprionate lyase 7 (DMSP lyase 7) (EC 4.4.1.3) (Dimethylpropiothetin dethiomethylase 7),ALMA7 EMIHUDRAFT_114859,Emiliania huxleyi (Pontosphaera huxleyi),341,2903,4.4.1.3,GO:0047869,ehx:EMIHUDRAFT_114859;,17272432;,NA,NA,NA,NA,NA,NA,NA,NA
aten_0.1.m1.34017.m1,aten_0.1.m1.34017,1.10E-15,CNDD3_MOUSE,blastp,NA,NA,NA,Q6ZQK0,reviewed,Condensin-2 complex subunit D3 (Non-SMC condensin II complex subunit D3),Ncapd3 Kiaa0056,Mus musculus (Mouse),1506,10090,NA,GO:0000777; GO:0000779; GO:0000793; GO:0000796; GO:0000799; GO:0003682; GO:0005654; GO:0007076; GO:0010032; GO:0031618; GO:0035064; GO:0042393; GO:0042585; GO:0051301; GO:0051304; GO:0051307,mmu:78658;,78658;,NA,KOG0413;ENOG410XSGK;,K11491;,60751at2759;,NA,NA,R-MMU-2299718;,GO:0007076
aten_0.1.m1.21657.m1,aten_0.1.m1.21657,7.23E-115,KCNAS_DROME,blastp,NA,NA,PF00520.30;PF02214.21;PF07885.15;PF16017.4,P08510,reviewed,Potassium voltage-gated channel protein Shaker (Protein minisleep),Sh mns CG12348,Drosophila melanogaster (Fruit fly),655,7227,NA,GO:0001508; GO:0005249; GO:0005251; GO:0006813; GO:0007611; GO:0007619; GO:0007637; GO:0008076; GO:0008345; GO:0009584; GO:0016021; GO:0022843; GO:0030431; GO:0034765; GO:0045187; GO:0045838; GO:0045938; GO:0048047; GO:0048150; GO:0048675; GO:0050909; GO:0051260; GO:0060025; GO:0071805; GO:1903351,dme:Dmel_CG12348;,32780;,NA,KOG1545;COG1226;,K04874;,NA,NA,NA,R-DME-1296072;,GO:0005249;GO:0006813;GO:0008076;GO:0005216;GO:0006811;GO:0016020;GO:0055085;GO:0051260
aten_0.1.m1.7033.m1,aten_0.1.m1.7033,1.93E-30,TBD_MOUSE,blastp,NA,NA,PF00091.24;PF13809.5,Q9R1K7,reviewed,Tubulin delta chain (Delta-tubulin),Tubd1,Mus musculus (Mouse),455,10090,NA,GO:0000226; GO:0000278; GO:0003924; GO:0005200; GO:0005525; GO:0005634; GO:0005654; GO:0005737; GO:0005814; GO:0005829; GO:0005874; GO:0005929; GO:0007017; GO:0007275; GO:0030030; GO:0045880,mmu:56427;,56427;,ENSMUST00000069503;ENSMUST00000167178;,NA,K10390;,1166669at2759;,NA,NA,NA,GO:0003924;GO:0005525;GO:0005874;GO:0007017;GO:0005200
aten_0.1.m1.37448.m1,aten_0.1.m1.37448,1.09E-68,NLRC3_HUMAN,blastp,NA,NA,PF13516.5;PF05729.11;PF00534.19;PF13692.5;PF12799.6;PF00560.32;PF13191.5;PF13439.5;PF13855.5;PF00931.21;PF07693.13;PF08032.11;PF09968.8;PF13401.5;PF00910.21;PF13481.5;PF13524.5;PF13579.5;PF08921.10,Q7RTR2,reviewed,"NLR family CARD domain-containing protein 3 (CARD15-like protein) (Caterpiller protein 16.2) (CLR16.2) (NACHT, LRR and CARD domains-containing protein 3) (Nucleotide-binding oligomerization domain protein 3)",NLRC3 NOD3,Homo sapiens (Human),1065,9606,NA,GO:0005524; GO:0005737; GO:0005815; GO:0005829; GO:0007249; GO:0014067; GO:0032088; GO:0032687; GO:0032688; GO:0032715; GO:0032720; GO:0035556; GO:0036312; GO:0042110; GO:0043124; GO:0045824; GO:0048147; GO:0048471; GO:0050680; GO:0050728; GO:1900016; GO:1900226; GO:1901223,hsa:197358;,197358;,ENST00000359128 [Q7RTR2-1];ENST00000615877 [Q7RTR2-3];,NA,K22614;,259987at2759;,NA,NA,R-HSA-3270619;,GO:0005515
aten_0.1.m1.31135.m1,aten_0.1.m1.31135,2.71E-52,ARAT1_THELN,blastp,NA,NA,PF00155.20;PF12897.6,H3ZPL1,reviewed,Aromatic-amino-acid aminotransferase 1 (ARAT-I) (AROAT) (EC 2.6.1.57),OCC_04335,Thermococcus litoralis (strain ATCC 51850 / DSM 5473 / JCM 8560 / NS-C),417,523849,2.6.1.57,GO:0009058; GO:0030170; GO:0080130,tlt:OCC_04335;,16548664;,NA,NA,K05825;,51060at2157;,GCF_000246985:G171I-340-MONOMER;,NA,NA,GO:0003824;GO:0009058;GO:0030170
aten_0.1.m1.11308.m1,aten_0.1.m1.11308,1.42E-163,FOLC_CRIGR,blastp,K01930,NA,PF08245.11;PF02875.20;PF13094.5,Q924L9,reviewed,"Folylpolyglutamate synthase, mitochondrial (EC 6.3.2.17) (Folylpoly-gamma-glutamate synthetase) (FPGS) (Tetrahydrofolate synthase) (Tetrahydrofolylpolyglutamate synthase)",FPGS,Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus),587,10029,6.3.2.17,GO:0004326; GO:0005524; GO:0005743; GO:0005759; GO:0006730; GO:0046872,cge:100689022;,100689022;,NA,NA,K01930;,840266at2759;,NA,NA,NA,GO:0004326;GO:0005524;GO:0009396;GO:0009058;GO:0016874
aten_0.1.m1.3097.m1,aten_0.1.m1.3097,7.25E-64,RDH8_BOVIN,blastp,NA,NA,PF00106.24;PF13561.5;PF08659.9;PF12242.7;PF03283.12;PF03505.13;PF01978.18;PF16557.4,Q9N126,reviewed,Retinol dehydrogenase 8 (EC 1.1.1.300) (Photoreceptor outer segment all-trans retinol dehydrogenase),RDH8 PRRDH,Bos taurus (Bovine),312,9913,1.1.1.300,GO:0001750; GO:0004303; GO:0004745; GO:0005737; GO:0006703; GO:0007601; GO:0016021; GO:0050896; GO:0052650,bta:281449;,281449;,ENSBTAT00000013443;,KOG1205;COG1028;,K11150;,1313182at2759;,NA,NA,NA,GO:0016491
aten_0.1.m1.17719.m1,aten_0.1.m1.17719,1.55E-178,GXN2_ACRMI,blastp,NA,YES,NA,B8UU51,reviewed,Galaxin-2,NA,Acropora millepora (Staghorn coral) (Heteropora millepora),275,45264,NA,GO:0005576,NA,NA,NA,NA,NA,NA,NA,NA,NA,
